year,team,conference,sp_defense,sos_z,sos_score
2021,Washington,Big Ten,45,-0.5364194422867156,44.63580557713284
2021,Central Michigan,Mid-American,93,0.736301972112184,57.36301972112184
2021,San José State,Mountain West,54,-0.2977841770869219,47.02215822913078
2021,Hawai'i,Mountain West,98,0.8688771194454027,58.68877119445403
2021,Colorado State,Mountain West,59,-0.1652090297537032,48.34790970246297
2021,Rutgers,Big Ten,46,-0.5099044128200718,44.90095587179928
2021,Tulane,American Athletic,99,0.8953921489120464,58.95392148912046
2021,Middle Tennessee,Conference USA,69,0.09994126491273421,50.99941264912734
2021,UTEP,Conference USA,83,0.4711516774457466,54.711516774457465
2021,Florida Atlantic,American Athletic,85,0.5241817363790341,55.24181736379034
2021,Kent State,Mid-American,120,1.452207767711565,64.52207767711565
2021,North Texas,American Athletic,87,0.5772117953123216,55.772117953123214
2021,Troy,Sun Belt,65,-0.006118852953840747,49.938811470461594
2021,Georgia Tech,ACC,103,1.0014522667786214,60.01452266778621
2021,Northern Illinois,Mid-American,116,1.34614764984499,63.4614764984499
2021,South Alabama,Sun Belt,81,0.4181216185124591,54.18121618512459
2021,Old Dominion,Sun Belt,81,0.4181216185124591,54.18121618512459
2021,Indiana,Big Ten,72,0.17948635331266544,51.79486353312665
2021,Eastern Michigan,Mid-American,122,1.5052378266448525,65.05237826644853
2021,Navy,American Athletic,75,0.2590314417125967,52.59031441712597
2021,Buffalo,Mid-American,105,1.054482325711909,60.54482325711909
2021,Colorado,Big 12,94,0.7628170015788277,57.62817001578828
2021,Stanford,ACC,107,1.1075123846451964,61.075123846451966
2021,Northwestern,Big Ten,72,0.17948635331266544,51.79486353312665
2021,Ball State,Mid-American,108,1.13402741411184,61.3402741411184
2021,Louisiana Tech,Conference USA,112,1.240087531978415,62.40087531978415
2021,Ohio,Mid-American,114,1.2931175909117025,62.93117590911702
2021,South Florida,American Athletic,117,1.3726626793116339,63.72662679311634
